#{"t_start": 1694707664.170515, "env_id": "CartPole-v1"}
r,l,t
5.0,5,0.012641
5.0,5,0.012872
5.0,5,0.013123
5.0,5,0.013312
5.0,5,0.013549
5.0,5,0.018462
