#{"t_start": 1694707899.6954591, "env_id": "CartPole-v1"}
r,l,t
5.0,5,0.019864
5.0,5,0.020111
5.0,5,0.020386
5.0,5,0.0206
5.0,5,0.020857
5.0,5,0.031117
