#{"t_start": 1694707899.694975, "env_id": "CartPole-v1"}
r,l,t
5.0,5,0.020248
5.0,5,0.020568
5.0,5,0.020847
5.0,5,0.021062
5.0,5,0.021317
5.0,5,0.031525
