#{"t_start": 1694707862.358403, "env_id": "CartPole-v1"}
r,l,t
5.0,5,0.016171
5.0,5,0.016398
5.0,5,0.016681
5.0,5,0.016894
5.0,5,0.01715
5.0,5,0.029844
