#{"t_start": 1694707862.357832, "env_id": "CartPole-v1"}
r,l,t
5.0,5,0.016667
5.0,5,0.016947
5.0,5,0.017228
5.0,5,0.017444
5.0,5,0.017698
5.0,5,0.030359
